,Residence State,Residence State Code,Month,Month Code,UCD - ICD Sub-Chapter,UCD - ICD Sub-Chapter Code,Underlying Cause of death,Underlying Cause of death Code,Deaths
2632,Georgia,13,"Dec., 2024 (provisional)",2024/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,316
2633,Georgia,13,"Jan., 2025 (provisional and partial)",2025/01,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,26
2634,Georgia,13,"Jan., 2025 (provisional and partial)",2025/01,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,56
2635,Georgia,13,"Jan., 2025 (provisional and partial)",2025/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,40
2636,Georgia,13,"Jan., 2025 (provisional and partial)",2025/01,Chronic lower respiratory diseases,J40-J47,Other specified chronic obstructive pulmonary disease,J44.8,10
2637,Georgia,13,"Jan., 2025 (provisional and partial)",2025/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,388
2638,Georgia,13,"Feb., 2025 (provisional and partial)",2025/02,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,13
2639,Georgia,13,"Feb., 2025 (provisional and partial)",2025/02,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,43
2640,Georgia,13,"Feb., 2025 (provisional and partial)",2025/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,31
2641,Georgia,13,"Feb., 2025 (provisional and partial)",2025/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,338
2642,Georgia,13,"Mar., 2025 (provisional and partial)",2025/03,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,13
2643,Georgia,13,"Mar., 2025 (provisional and partial)",2025/03,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,41
2644,Georgia,13,"Mar., 2025 (provisional and partial)",2025/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,25
2645,Georgia,13,"Mar., 2025 (provisional and partial)",2025/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,314
2646,Georgia,13,"Apr., 2025 (provisional and partial)",2025/04,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,19
2647,Georgia,13,"Apr., 2025 (provisional and partial)",2025/04,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,28
2648,Georgia,13,"Apr., 2025 (provisional and partial)",2025/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,29
2649,Georgia,13,"Apr., 2025 (provisional and partial)",2025/04,Chronic lower respiratory diseases,J40-J47,Other specified chronic obstructive pulmonary disease,J44.8,11
2650,Georgia,13,"Apr., 2025 (provisional and partial)",2025/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,281
2651,Georgia,13,"May, 2025 (provisional and partial)",2025/05,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,17
2652,Georgia,13,"May, 2025 (provisional and partial)",2025/05,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,27
2653,Georgia,13,"May, 2025 (provisional and partial)",2025/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,27
2654,Georgia,13,"May, 2025 (provisional and partial)",2025/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,306
2655,Georgia,13,"Jun., 2025 (provisional and partial)",2025/06,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,14
2656,Georgia,13,"Jun., 2025 (provisional and partial)",2025/06,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,31
2657,Georgia,13,"Jun., 2025 (provisional and partial)",2025/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,22
2658,Georgia,13,"Jun., 2025 (provisional and partial)",2025/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,270
2659,Georgia,13,"Jul., 2025 (provisional and partial)",2025/07,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,24
2660,Georgia,13,"Jul., 2025 (provisional and partial)",2025/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,25
2661,Georgia,13,"Jul., 2025 (provisional and partial)",2025/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,282
2662,Georgia,13,"Aug., 2025 (provisional and partial)",2025/08,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,16
2663,Georgia,13,"Aug., 2025 (provisional and partial)",2025/08,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,26
2664,Georgia,13,"Aug., 2025 (provisional and partial)",2025/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,32
2665,Georgia,13,"Aug., 2025 (provisional and partial)",2025/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,253
2666,Georgia,13,"Sep., 2025 (provisional and partial)",2025/09,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,16
2667,Georgia,13,"Sep., 2025 (provisional and partial)",2025/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,117
2668,Hawaii,15,"Jan., 2018",2018/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,18
2669,Hawaii,15,"Feb., 2018",2018/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,22
2670,Hawaii,15,"Mar., 2018",2018/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2671,Hawaii,15,"Apr., 2018",2018/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,27
2672,Hawaii,15,"May, 2018",2018/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,22
2673,Hawaii,15,"Jun., 2018",2018/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,19
2674,Hawaii,15,"Jul., 2018",2018/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,15
2675,Hawaii,15,"Aug., 2018",2018/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,15
2676,Hawaii,15,"Sep., 2018",2018/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,21
2677,Hawaii,15,"Oct., 2018",2018/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,15
2678,Hawaii,15,"Nov., 2018",2018/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,14
2679,Hawaii,15,"Dec., 2018",2018/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2680,Hawaii,15,"Jan., 2019",2019/01,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,12
2681,Hawaii,15,"Jan., 2019",2019/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2682,Hawaii,15,"Feb., 2019",2019/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,22
2683,Hawaii,15,"Mar., 2019",2019/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,18
2684,Hawaii,15,"Apr., 2019",2019/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2685,Hawaii,15,"May, 2019",2019/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,18
2686,Hawaii,15,"Jun., 2019",2019/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,12
2687,Hawaii,15,"Jul., 2019",2019/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,27
2688,Hawaii,15,"Aug., 2019",2019/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,11
2689,Hawaii,15,"Sep., 2019",2019/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,18
2690,Hawaii,15,"Oct., 2019",2019/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,18
2691,Hawaii,15,"Nov., 2019",2019/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,13
2692,Hawaii,15,"Dec., 2019",2019/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,21
2693,Hawaii,15,"Jan., 2020",2020/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,25
2694,Hawaii,15,"Feb., 2020",2020/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,22
2695,Hawaii,15,"Mar., 2020",2020/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,19
2696,Hawaii,15,"Apr., 2020",2020/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,14
2697,Hawaii,15,"May, 2020",2020/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,24
2698,Hawaii,15,"Jun., 2020",2020/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,16
2699,Hawaii,15,"Jul., 2020",2020/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2700,Hawaii,15,"Aug., 2020",2020/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,18
2701,Hawaii,15,"Sep., 2020",2020/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,17
2702,Hawaii,15,"Oct., 2020",2020/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,19
2703,Hawaii,15,"Nov., 2020",2020/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,11
2704,Hawaii,15,"Dec., 2020",2020/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,19
2705,Hawaii,15,"Jan., 2021",2021/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,23
2706,Hawaii,15,"Feb., 2021",2021/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,16
2707,Hawaii,15,"Mar., 2021",2021/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,24
2708,Hawaii,15,"Apr., 2021",2021/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,21
2709,Hawaii,15,"May, 2021",2021/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,21
2710,Hawaii,15,"Jun., 2021",2021/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,23
2711,Hawaii,15,"Jul., 2021",2021/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,16
2712,Hawaii,15,"Aug., 2021",2021/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,23
2713,Hawaii,15,"Sep., 2021",2021/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,24
2714,Hawaii,15,"Oct., 2021",2021/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,24
2715,Hawaii,15,"Nov., 2021",2021/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2716,Hawaii,15,"Dec., 2021",2021/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,22
2717,Hawaii,15,"Jan., 2022",2022/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,17
2718,Hawaii,15,"Feb., 2022",2022/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,23
2719,Hawaii,15,"Mar., 2022",2022/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,16
2720,Hawaii,15,"Apr., 2022",2022/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,15
2721,Hawaii,15,"May, 2022",2022/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,16
2722,Hawaii,15,"Jun., 2022",2022/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,15
2723,Hawaii,15,"Jul., 2022",2022/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,19
2724,Hawaii,15,"Aug., 2022",2022/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,16
2725,Hawaii,15,"Sep., 2022",2022/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,15
2726,Hawaii,15,"Oct., 2022",2022/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,22
2727,Hawaii,15,"Nov., 2022",2022/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2728,Hawaii,15,"Dec., 2022",2022/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,14
2729,Hawaii,15,"Jan., 2023",2023/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,16
2730,Hawaii,15,"Feb., 2023",2023/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,22
2731,Hawaii,15,"Mar., 2023",2023/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,23
2732,Hawaii,15,"Apr., 2023",2023/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,22
2733,Hawaii,15,"May, 2023",2023/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2734,Hawaii,15,"Jun., 2023",2023/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2735,Hawaii,15,"Jul., 2023",2023/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2736,Hawaii,15,"Aug., 2023",2023/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,19
2737,Hawaii,15,"Sep., 2023",2023/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,23
2738,Hawaii,15,"Oct., 2023",2023/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,22
2739,Hawaii,15,"Nov., 2023",2023/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2740,Hawaii,15,"Jan., 2024 (provisional)",2024/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,21
2741,Hawaii,15,"Feb., 2024 (provisional)",2024/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,16
2742,Hawaii,15,"Mar., 2024 (provisional)",2024/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,27
2743,Hawaii,15,"Apr., 2024 (provisional)",2024/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,28
2744,Hawaii,15,"May, 2024 (provisional)",2024/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,19
2745,Hawaii,15,"Jun., 2024 (provisional)",2024/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,24
2746,Hawaii,15,"Jul., 2024 (provisional)",2024/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,17
2747,Hawaii,15,"Aug., 2024 (provisional)",2024/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,20
2748,Hawaii,15,"Sep., 2024 (provisional)",2024/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,17
2749,Hawaii,15,"Oct., 2024 (provisional)",2024/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,12
2750,Hawaii,15,"Nov., 2024 (provisional)",2024/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,17
2751,Hawaii,15,"Dec., 2024 (provisional)",2024/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,17
2752,Hawaii,15,"Jan., 2025 (provisional and partial)",2025/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,15
2753,Hawaii,15,"Feb., 2025 (provisional and partial)",2025/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,16
2754,Hawaii,15,"Mar., 2025 (provisional and partial)",2025/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,19
2755,Hawaii,15,"Apr., 2025 (provisional and partial)",2025/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,16
2756,Hawaii,15,"May, 2025 (provisional and partial)",2025/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,17
2757,Hawaii,15,"Jun., 2025 (provisional and partial)",2025/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,23
2758,Hawaii,15,"Jul., 2025 (provisional and partial)",2025/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,13
2759,Hawaii,15,"Aug., 2025 (provisional and partial)",2025/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,13
2760,Idaho,16,"Jan., 2018",2018/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,68
2761,Idaho,16,"Feb., 2018",2018/02,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,13
2762,Idaho,16,"Feb., 2018",2018/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,52
2763,Idaho,16,"Mar., 2018",2018/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,61
2764,Idaho,16,"Apr., 2018",2018/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,79
2765,Idaho,16,"May, 2018",2018/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,59
2766,Idaho,16,"Jun., 2018",2018/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,56
2767,Idaho,16,"Jul., 2018",2018/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,56
2768,Idaho,16,"Aug., 2018",2018/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,46
2769,Idaho,16,"Sep., 2018",2018/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,55
2770,Idaho,16,"Oct., 2018",2018/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,62
2771,Idaho,16,"Nov., 2018",2018/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,52
2772,Idaho,16,"Dec., 2018",2018/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,54
2773,Idaho,16,"Jan., 2019",2019/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,71
2774,Idaho,16,"Feb., 2019",2019/02,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,15
2775,Idaho,16,"Feb., 2019",2019/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,87
2776,Idaho,16,"Mar., 2019",2019/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,69
2777,Idaho,16,"Apr., 2019",2019/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,67
2778,Idaho,16,"May, 2019",2019/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,67
2779,Idaho,16,"Jun., 2019",2019/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,73
2780,Idaho,16,"Jul., 2019",2019/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,65
2781,Idaho,16,"Aug., 2019",2019/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,45
2782,Idaho,16,"Sep., 2019",2019/09,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,10
2783,Idaho,16,"Sep., 2019",2019/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,53
2784,Idaho,16,"Oct., 2019",2019/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,58
2785,Idaho,16,"Nov., 2019",2019/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,70
2786,Idaho,16,"Dec., 2019",2019/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,53
2787,Idaho,16,"Jan., 2020",2020/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,80
2788,Idaho,16,"Feb., 2020",2020/02,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,10
2789,Idaho,16,"Feb., 2020",2020/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,56
2790,Idaho,16,"Mar., 2020",2020/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,47
2791,Idaho,16,"Apr., 2020",2020/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,59
2792,Idaho,16,"May, 2020",2020/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,58
2793,Idaho,16,"Jun., 2020",2020/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,49
2794,Idaho,16,"Jul., 2020",2020/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,50
2795,Idaho,16,"Aug., 2020",2020/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,55
2796,Idaho,16,"Sep., 2020",2020/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,56
2797,Idaho,16,"Oct., 2020",2020/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,63
2798,Idaho,16,"Nov., 2020",2020/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,53
2799,Idaho,16,"Dec., 2020",2020/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,57
2800,Idaho,16,"Jan., 2021",2021/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,54
2801,Idaho,16,"Feb., 2021",2021/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,45
2802,Idaho,16,"Mar., 2021",2021/03,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,11
2803,Idaho,16,"Mar., 2021",2021/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,54
2804,Idaho,16,"Apr., 2021",2021/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,59
2805,Idaho,16,"May, 2021",2021/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,64
2806,Idaho,16,"Jun., 2021",2021/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,51
2807,Idaho,16,"Jul., 2021",2021/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,60
2808,Idaho,16,"Aug., 2021",2021/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,57
2809,Idaho,16,"Sep., 2021",2021/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,61
2810,Idaho,16,"Oct., 2021",2021/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,74
2811,Idaho,16,"Nov., 2021",2021/11,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,10
2812,Idaho,16,"Nov., 2021",2021/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,76
2813,Idaho,16,"Dec., 2021",2021/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,69
